"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\App.js", "JavaScript", 1, 0, 0, 1
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\dashboard\Home.js", "JavaScript", 80, 1, 10, 91
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\dashboard\TodoSection.js", "JavaScript", 125, 0, 13, 138
"Total", "-", 206, 1, 23, 230
